DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED,TOTAL_DEATHS_BY_DOD
05-12-21,Sevier,13445,12,11420,6,2025,6,12563,8,69478,138,82041,146,0,175,-2,137,14,13133,0,285,175
05-12-21,Shelby,96322,185,88997,169,7325,16,109449,225,1046433,3811,1155882,4036,3,1628,30,1432,152,93262,2,3731,1628
05-12-21,Smith,2785,3,2077,1,708,2,2594,1,14145,16,16739,17,0,39,-2,20,5,2726,0,59,39
05-12-21,Stewart,1327,1,1004,0,323,1,1137,1,7190,12,8327,13,0,28,1,10,0,1289,0,26,28
05-12-21,Sullivan,16915,23,14683,22,2232,1,15924,29,94573,500,110497,529,1,298,-17,293,39,16324,1,780,297
05-12-21,Sumner,24122,26,21228,15,2894,11,24036,26,128612,280,152648,306,0,349,-3,281,29,23492,1,720,348
05-12-21,Tipton,7389,2,5110,2,2279,0,6162,4,50375,143,56537,147,0,104,-11,82,13,7203,0,162,103
05-12-21,Trousdale,2506,3,2344,2,162,1,2512,1,9555,12,12067,13,0,22,3,7,0,2477,0,41,22
05-12-21,Unicoi,2045,2,1542,2,503,0,1693,2,14106,38,15799,40,0,49,-2,31,4,1965,0,71,49
05-12-21,Union,1916,2,1603,0,313,2,1728,0,10943,14,12671,14,0,34,0,15,2,1867,0,59,34
05-12-21,Van Buren,853,0,702,0,151,0,778,0,5418,7,6196,7,0,23,-1,5,1,825,0,24,23
05-12-21,Warren,5550,3,4721,3,829,0,5349,5,34400,54,39749,59,0,81,2,17,1,5452,0,85,81
05-12-21,Washington,14681,29,12555,20,2126,9,13813,23,88348,302,102161,325,0,245,8,199,21,14237,0,374,245
05-12-21,Wayne,2968,1,2377,0,591,1,2615,0,11522,18,14137,18,0,34,0,19,1,2915,0,61,34
05-12-21,Weakley,4156,1,3036,0,1120,1,3475,3,22282,33,25757,36,0,65,-13,59,14,4032,0,77,65
05-12-21,White,3679,9,2985,8,694,1,3629,8,23569,80,27198,88,0,70,7,74,2,3535,0,118,70
05-12-21,Williamson,28103,16,23583,14,4520,2,26158,14,193776,360,219934,374,0,217,-6,233,22,27653,0,294,217
05-12-21,Wilson,18899,17,16953,17,1946,0,19226,9,113204,230,132430,239,0,236,7,197,10,18466,0,339,236
05-11-21,Anderson,8779,8,6518,1,2261,7,7293,2,64603,42,71896,44,0,171,3,56,5,8552,0,218,171
05-11-21,Bedford,6517,5,5105,1,1412,4,5884,2,32797,33,38681,35,0,129,2,28,3,6360,0,138,128
05-11-21,Benton,1670,0,1303,0,367,0,1442,0,9327,4,10769,4,0,40,-3,19,3,1611,0,39,40
05-11-21,Bledsoe,2153,6,1935,3,218,3,2053,4,16532,15,18585,19,0,11,4,27,2,2115,0,32,11
05-11-21,Blount,15531,21,13174,14,2357,7,14533,13,78747,128,93280,141,0,195,-2,155,23,15181,1,357,196
05-11-21,Bradley,15089,20,12269,13,2820,7,13936,14,69915,162,83851,176,0,151,-1,171,21,14767,1,671,151
05-11-21,Campbell,4170,2,2275,0,1895,2,2553,0,25402,16,27955,16,0,63,-1,32,3,4075,0,129,63
05-11-21,Cannon,1924,1,1531,0,393,1,1705,0,9669,9,11374,9,0,31,-1,14,2,1879,0,39,31
05-11-21,Carroll,3627,3,2353,0,1274,3,2795,2,20055,10,22850,12,0,83,3,34,0,3510,0,83,83
05-11-21,Carter,6651,9,5761,5,890,4,6341,5,39751,64,46092,69,0,158,-4,80,13,6413,1,234,158
05-11-21,Cheatham,4567,4,3466,4,1101,0,3916,4,28563,29,32479,33,0,56,2,44,2,4467,0,90,56
05-11-21,Chester,2149,3,1535,2,614,1,1827,2,12324,8,14151,10,0,51,0,25,3,2073,0,45,51
05-11-21,Claiborne,3186,2,2034,0,1152,2,2181,0,24966,14,27147,14,0,73,1,22,1,3091,0,95,73
05-11-21,Clay,1102,0,755,0,347,0,872,0,5755,3,6627,3,-1,30,1,1,0,1071,0,25,30
05-11-21,Cocke,4518,1,2965,0,1553,1,3268,0,23046,21,26314,21,0,99,0,40,1,4379,0,120,99
05-11-21,Coffee,6918,6,4766,1,2152,5,5816,2,47003,72,52819,74,0,122,2,40,4,6756,0,125,123
