DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-21-20,Claiborne,,,,,,,,,,,,,,,,,,,,
03-21-20,Cocke,1,,,,,,,,,,,,,,,,,,,
03-21-20,Cumberland,2,0,,,,,,,,,,,,,,,,,,
03-21-20,Davidson,140,39,,,,,,,,,,,,,,,,,,
03-21-20,Dickson,3,1,,,,,,,,,,,,,,,,,,
03-21-20,Dyer,2,1,,,,,,,,,,,,,,,,,,
03-21-20,Fayette,1,,,,,,,,,,,,,,,,,,,
03-21-20,Franklin,,,,,,,,,,,,,,,,,,,,
03-21-20,Greene,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Hamblen,2,1,,,,,,,,,,,,,,,,,,
03-21-20,Hamilton,7,2,,,,,,,,,,,,,,,,,,
03-21-20,Jefferson,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Knox,4,1,,,,,,,,,,,,,,,,,,
03-21-20,Lawrence,,,,,,,,,,,,,,,,,,,,
03-21-20,Loudon,,,,,,,,,,,,,,,,,,,,
03-21-20,Madison,,,,,,,,,,,,,,,,,,,,
03-21-20,Maury,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Meigs,,,,,,,,,,,,,,,,,,,,
03-21-20,Monroe,3,,,,,,,,,,,,,,,,,,,
03-21-20,Montgomery,3,0,,,,,,,,,,,,,,,,,,
03-21-20,Out of State,59,19,,,,,,,,,,,,,,,,,,
03-21-20,Pending,10,9,,,,,,,,,,,,,,,,,,
03-21-20,Putnam,5,,,,,,,,,,,,,,,,,,,
03-21-20,Roane,1,,,,,,,,,,,,,,,,,,,
03-21-20,Robertson,2,0,,,,,,,,,,,,,,,,,,
03-21-20,Rutherford,5,4,,,,,,,,,,,,,,,,,,
03-21-20,Scott,2,,,,,,,,,,,,,,,,,,,
03-21-20,Sevier,2,1,,,,,,,,,,,,,,,,,,
03-21-20,Shelby,40,36,,,,,,,,,,,,,,,,,,
03-21-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-21-20,Sumner,11,0,,,,,,,,,,,,,,,,,,
03-21-20,Tipton,2,1,,,,,,,,,,,,,,,,,,
03-21-20,Washington,2,0,,,,,,,,,,,,,,,,,,
03-21-20,Wayne,,,,,,,,,,,,,,,,,,,,
03-21-20,Williamson,47,12,,,,,,,,,,,,,,,,,,
03-21-20,Wilson,3,0,,,,,,,,,,,,,,,,,,
03-22-20,Anderson,1,0,,,,,,,,,,,,,,,,,,
03-22-20,Blount,1,0,,,,,,,,,,,,,,,,,,
03-22-20,Bradley,2,1,,,,,,,,,,,,,,,,,,
03-22-20,Campbell,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Carroll,2,1,,,,,,,,,,,,,,,,,,
03-22-20,Cheatham,4,2,,,,,,,,,,,,,,,,,,
03-22-20,Chester,1,,,,,,,,,,,,,,,,,,,
03-22-20,Cocke,1,0,,,,,,,,,,,,,,,,,,
03-22-20,Cumberland,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Davidson,167,27,,,,,,,,,,,,,,,,,,
03-22-20,Dickson,4,1,,,,,,,,,,,,,,,,,,
03-22-20,Dyer,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Fayette,3,2,,,,,,,,,,,,,,,,,,
03-22-20,Franklin,1,,,,,,,,,,,,,,,,,,,
03-22-20,Gibson,1,,,,,,,,,,,,,,,,,,,
03-22-20,Greene,2,1,,,,,,,,,,,,,,,,,,
03-22-20,Hamblen,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Hamilton,8,1,,,,,,,,,,,,,,,,,,
