Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
11/29/2022,Onondaga,57,137961,1290,2804100,4.02%,COUNTY
11/29/2022,Ontario,12,25053,319,482350,3.79%,COUNTY
11/29/2022,Orange,106,131677,1174,1975431,7.96%,COUNTY
11/29/2022,Orleans,6,10173,66,158764,8.93%,COUNTY
11/29/2022,Oswego,14,33296,346,533759,3.61%,COUNTY
11/29/2022,Otsego,11,12760,142,313006,8.70%,COUNTY
11/29/2022,Putnam,39,29853,414,492416,9.26%,COUNTY
11/29/2022,Queens,1200,818258,11582,14785477,10.05%,COUNTY
11/29/2022,Rensselaer,19,40239,306,877754,6.40%,COUNTY
11/29/2022,Richmond,192,201431,2211,3696933,8.40%,COUNTY
11/29/2022,Rockland,123,112701,1316,2364257,8.95%,COUNTY
11/29/2022,STATEWIDE,7110,6279242,81461,123257820,7.86%,STATEWIDE
11/29/2022,Saratoga,17,59149,495,1079629,3.69%,COUNTY
11/29/2022,Schenectady,20,41980,378,839862,5.29%,COUNTY
11/29/2022,Schoharie,3,6328,82,121707,2.53%,COUNTY
11/29/2022,Schuyler,2,4223,106,99992,4.08%,COUNTY
11/29/2022,Seneca,3,7353,88,139884,3.66%,COUNTY
11/29/2022,Southern Tier,102,171213,3232,5983515,3.38%,REGION
11/29/2022,St. Lawrence,3,25544,190,621607,1.65%,COUNTY
11/29/2022,Steuben,20,24491,255,478044,8.30%,COUNTY
11/29/2022,Suffolk,854,535248,8051,8525319,8.61%,COUNTY
11/29/2022,Sullivan,23,23315,265,378581,9.09%,COUNTY
11/29/2022,Tioga,13,13566,265,234960,5.00%,COUNTY
11/29/2022,Tompkins,20,25569,226,3061104,9.17%,COUNTY
11/29/2022,Ulster,27,40893,368,869631,7.40%,COUNTY
11/29/2022,Warren,14,18074,249,341172,6.99%,COUNTY
11/29/2022,Washington,20,15107,223,289104,8.20%,COUNTY
11/29/2022,Wayne,10,21075,252,384353,3.64%,COUNTY
11/29/2022,Westchester,405,317167,4321,5881655,8.53%,COUNTY
11/29/2022,Western New York,189,374845,2143,6231835,7.88%,REGION
11/29/2022,Wyoming,2,9698,45,158509,4.44%,COUNTY
11/29/2022,Yates,3,4293,84,91974,4.84%,COUNTY
11/28/2022,Albany,32,75608,520,1405533,5.26%,COUNTY
11/28/2022,Allegany,2,10425,60,249183,2.13%,COUNTY
11/28/2022,Bronx,338,482127,3730,8870199,8.13%,COUNTY
11/28/2022,Broome,25,56360,347,1185007,6.69%,COUNTY
11/28/2022,Capital Region,101,273634,1905,5266310,5.59%,REGION
11/28/2022,Cattaraugus,7,18670,72,308210,10.34%,COUNTY
11/28/2022,Cayuga,3,19672,127,396318,2.97%,COUNTY
11/28/2022,Central New York,60,219963,1200,4412420,4.78%,REGION
11/28/2022,Chautauqua,5,28427,169,530407,3.48%,COUNTY
11/28/2022,Chemung,10,25824,249,483514,4.42%,COUNTY
11/28/2022,Chenango,7,11427,70,237616,7.02%,COUNTY
11/28/2022,Clinton,7,21547,83,405777,8.00%,COUNTY
11/28/2022,Columbia,7,13134,46,253317,15.91%,COUNTY
11/28/2022,Cortland,5,12849,90,307106,4.55%,COUNTY
11/28/2022,Delaware,4,9706,50,200898,8.33%,COUNTY
11/28/2022,Dutchess,52,80150,381,1484774,12.74%,COUNTY
11/28/2022,Erie,82,259469,1057,4236376,6.61%,COUNTY
11/28/2022,Essex,2,7347,45,165452,5.71%,COUNTY
11/28/2022,Finger Lakes,116,292274,2015,5640959,5.76%,REGION
11/28/2022,Franklin,3,11686,87,218355,4.69%,COUNTY
11/28/2022,Fulton,6,15969,86,231199,7.25%,COUNTY
11/28/2022,Genesee,3,16063,96,275208,3.16%,COUNTY
11/28/2022,Greene,2,10433,27,181590,7.41%,COUNTY
11/28/2022,Hamilton,0,1055,4,20294,0.00%,COUNTY
11/28/2022,Herkimer,2,16878,109,326624,2.90%,COUNTY
11/28/2022,Jefferson,16,25701,255,408699,4.00%,COUNTY
11/28/2022,Kings,567,863929,6363,18755880,8.71%,COUNTY
11/28/2022,Lewis,3,7083,35,104310,6.06%,COUNTY
11/28/2022,Livingston,3,13900,86,286020,3.80%,COUNTY
11/28/2022,Long Island,652,1052006,6384,16941401,9.26%,REGION
11/28/2022,Madison,4,16256,82,372773,3.90%,COUNTY
11/28/2022,Mid-Hudson,524,735033,5300,13438887,9.56%,REGION
11/28/2022,Mohawk Valley,38,132989,859,2745889,4.24%,REGION
11/28/2022,Monroe,75,184702,1334,3664751,5.96%,COUNTY
11/28/2022,Montgomery,3,14509,97,223735,5.08%,COUNTY
11/28/2022,Nassau,360,517612,3360,8424133,9.71%,COUNTY
11/28/2022,New York,376,556153,4354,14481518,8.55%,COUNTY
11/28/2022,New York City,2148,2920506,22524,60576214,8.84%,REGION
