date_stamp,age_group,cnt_confirmed,cnt_confirmed_new,pct_confirmed,pct_confirmed_new,cnt_death,cnt_death_new
2020-04-29,71,546,16,5.2672,5.0955,53.0,3.0
2020-04-29,61,1072,21,10.3415,6.6879,45.0,1.0
2020-04-29,51,1714,63,16.5348,20.0637,15.0,0.0
2020-04-29,99,404,-17,3.8974,-5.414,0.0,0.0
2020-04-29,31,1768,76,17.0558,24.2038,2.0,0.0
2020-04-29,21,1980,52,19.1009,16.5605,1.0,0.0
2020-04-29,11,614,15,5.9232,4.7771,0.0,0.0
2020-04-29,00,180,9,1.7364,2.8662,1.0,0.0
2020-04-29,41,1734,66,16.7278,21.0191,10.0,0.0
2020-04-30,99,41,-363,0.3819,-98.374,0.0,0.0
2020-04-30,81,359,5,3.3442,1.355,71.0,3.0
2020-04-30,71,566,20,5.2725,5.4201,52.0,-1.0
2020-04-30,61,1128,56,10.5077,15.1762,46.0,1.0
2020-04-30,51,1836,122,17.1029,33.0623,15.0,0.0
2020-04-30,41,1892,158,17.6246,42.8184,10.0,0.0
2020-04-30,21,2104,124,19.5994,33.6043,1.0,0.0
2020-04-30,11,647,33,6.027,8.9431,0.0,0.0
2020-04-30,00,204,24,1.9003,6.5041,1.0,0.0
2020-04-30,31,1958,190,18.2394,51.4905,3.0,1.0
2020-05-01,61,1202,74,10.1085,6.4014,46.0,0.0
2020-05-01,81,371,12,3.12,1.0381,73.0,2.0
2020-05-01,71,587,21,4.9365,1.8166,53.0,1.0
2020-05-01,51,1987,151,16.7101,13.0623,16.0,1.0
2020-05-01,99,89,48,0.7485,4.1522,0.0,0.0
2020-05-01,31,2254,296,18.9555,25.6055,3.0,0.0
2020-05-01,00,220,16,1.8501,1.3841,1.0,0.0
2020-05-01,41,2128,236,17.8959,20.4152,10.0,0.0
2020-05-01,21,2371,267,19.9395,23.0969,1.0,0.0
2020-05-01,11,682,35,5.7354,3.0277,1.0,1.0
2020-05-02,99,151,62,1.1926,8.0519,1.0,1.0
2020-05-02,81,385,14,3.0408,1.8182,75.0,2.0
2020-05-02,71,612,25,4.8337,3.2468,54.0,1.0
2020-05-02,51,2068,81,16.3336,10.5195,16.0,0.0
2020-05-02,61,1257,55,9.9281,7.1429,47.0,1.0
2020-05-02,31,2440,186,19.2718,24.1558,3.0,0.0
2020-05-02,21,2523,152,19.9273,19.7403,1.0,0.0
2020-05-02,11,724,42,5.7183,5.4545,1.0,0.0
2020-05-02,00,239,19,1.8877,2.4675,1.0,0.0
2020-05-02,41,2262,134,17.8659,17.4026,10.0,0.0
2020-05-03,99,149,-2,1.1308,-0.3876,0.0,-1.0
2020-05-03,81,393,8,2.9825,1.5504,76.0,1.0
2020-05-03,71,631,19,4.7886,3.6822,55.0,1.0
2020-05-03,61,1302,45,9.8809,8.7209,47.0,0.0
2020-05-03,51,2155,87,16.3543,16.8605,16.0,0.0
2020-05-03,41,2350,88,17.8341,17.0543,10.0,0.0
2020-05-03,21,2615,92,19.8452,17.8295,1.0,0.0
2020-05-03,11,768,44,5.8283,8.5271,1.0,0.0
2020-05-03,00,274,35,2.0794,6.7829,1.0,0.0
2020-05-03,31,2540,100,19.276,19.3798,3.0,0.0
2020-05-04,99,216,67,1.5916,17.0051,0.0,0.0
2020-05-04,81,407,14,2.999,3.5533,77.0,1.0
2020-05-04,71,659,28,4.8559,7.1066,59.0,4.0
2020-05-04,61,1339,37,9.8666,9.3909,50.0,3.0
2020-05-04,51,2207,52,16.2626,13.198,17.0,1.0
2020-05-04,31,2582,42,19.0259,10.6599,3.0,0.0
2020-05-04,21,2669,54,19.6669,13.7056,1.0,0.0
2020-05-04,11,806,38,5.9391,9.6447,1.0,0.0
2020-05-04,00,281,7,2.0706,1.7766,1.0,0.0
2020-05-04,41,2405,55,17.7216,13.9594,10.0,0.0
2020-05-05,61,1355,16,9.8977,13.4454,51.0,1.0
2020-05-05,81,414,7,3.0241,5.8824,80.0,3.0
