pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
60,Yukon,Yukon,12-03-2020,,0,0.0,0,0,0.0,34,0,0.0,0.0,790.96,0,0.0,0.0,0.0,0,0.0,0.0,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,,0,0.0,0,0,34.0,5,0,0.0,747.19,109.88,0,0.0,0.0,0.0,0,0.0,34.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,Nunavut,Nunavut,12-03-2020,,0,0.0,0,0,1.0,0,0,0.0,25.38,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,,1,0.0,0,1,29.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,0,100.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Canada,Canada,12-03-2020,,138,3.0,1,141,15214.0,6739,0,0.0,397.79,176.2,38,26.95,0.37,0.0,0,0.71,4162.0,1893,0,99.29,140,0.37,132,0.35,1,0.0,108,0.28,1,0.0,15.43,0.04,0.0,0.0,0.0
59,British Columbia,Colombie-Britannique,13-03-2020,,53,0.0,1,53,5195.0,5606,0,0.0,996.2,1075.02,7,13.21,1.02,0.02,0,1.89,0.0,1252,0,98.11,52,1.0,47,0.9,1,0.02,32,0.61,1,0.02,4.57,0.09,0.0,0.0,0.0
48,Alberta,Alberta,13-03-2020,,23,0.0,0,23,4109.0,3102,0,0.0,924.85,698.2,4,17.39,0.52,0.0,0,0.0,0.0,1334,0,100.0,23,0.52,22,0.5,0,0.0,22,0.5,0,0.0,3.14,0.07,0.0,0.0,0.0
47,Saskatchewan,Saskatchewan,13-03-2020,,0,1.0,0,1,285.0,0,0,0.0,241.56,0.0,0,0.0,0.08,0.0,0,0.0,0.0,0,0,100.0,1,0.08,1,0.08,0,0.0,1,0.08,0,0.0,0.14,0.01,0.0,0.0,0.0
46,Manitoba,Manitoba,13-03-2020,,1,2.0,0,3,352.0,312,0,0.0,254.38,225.47,2,66.67,0.22,0.0,0,0.0,0.0,195,0,100.0,3,0.22,3,0.22,0,0.0,3,0.22,0,0.0,0.43,0.03,0.0,0.0,0.0
35,Ontario,Ontario,13-03-2020,,79,0.0,0,79,4185.0,0,0,0.0,282.27,0.0,20,25.32,0.53,0.0,0,0.0,0.0,0,0,100.0,79,0.53,75,0.51,0,0.0,57,0.38,0,0.0,8.14,0.05,0.0,0.0,0.0
24,Quebec,Québec,13-03-2020,,17,0.0,0,17,740.0,613,0,0.0,86.0,71.24,4,23.53,0.2,0.0,0,0.0,0.0,216,0,100.0,17,0.2,16,0.19,0,0.0,15,0.17,0,0.0,2.14,0.02,0.0,0.0,0.0
