pruid,prname,prnameFR,date,reporting_week,reporting_year,update,numtotal,numtotal_last7,ratecases_total,numconf,numprob,numtests,numdeaths,numdeaths_last7,ratedeaths,ratecases_last7,ratedeaths_last7,numtotal_last14,numdeaths_last14,ratetotal_last14,ratedeaths_last14,avgcases_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
47,Saskatchewan,Saskatchewan,18-04-2020,16,2020,1,313,24,26.53,,,,4,0,0.34,2.03,0,82,1,6.95,0.08,3.43,0.29,0,0
46,Manitoba,Manitoba,18-04-2020,16,2020,1,253,11,18.28,,,,5,1,0.36,0.79,0.07,59,3,4.26,0.22,1.57,0.11,0.14,0.01
35,Ontario,Ontario,18-04-2020,16,2020,1,10010,3362,67.52,,,,511,259,3.45,22.68,1.75,6380,417,43.03,2.81,480.29,3.24,37,0.25
24,Quebec,Québec,18-04-2020,16,2020,1,17247,5900,200.44,,,,782,498,9.09,68.56,5.79,10556,705,122.69,8.19,842.79,9.79,71.14,0.83
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-04-2020,16,2020,1,256,15,49.18,,,,3,1,0.58,2.88,0.11,61,2,11.72,0.3,2.14,0.41,0.08,0.02
13,New Brunswick,Nouveau-Brunswick,18-04-2020,16,2020,1,118,6,14.95,,,,0,0,0,0.76,0,20,0,2.53,0,0.86,0.11,0,0
12,Nova Scotia,Nouvelle-Écosse,18-04-2020,16,2020,1,650,228,65.56,,,,7,5,0.73,23,0.52,405,7,40.81,0.73,32.59,3.29,0.73,0.07
11,Prince Edward Island,Île-du-Prince-Édouard,18-04-2020,16,2020,1,26,2,15.56,,,,0,0,0,1.13,0,4,0,2.43,0,0.27,0.16,0,0
60,Yukon,Yukon,18-04-2020,16,2020,1,10,2,22.49,,,,0,0,0,3.88,0,3,0,7.75,0,0.24,0.55,0,0
61,Northwest Territories,Territoires du Nord-Ouest,18-04-2020,16,2020,1,5,0,10.99,,,,0,0,0,0,0,1,0,2.51,0,0,0,0,0
62,Nunavut,Nunavut,18-04-2020,16,2020,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,18-04-2020,16,2020,,13,0,,,,,0,0,,,,0,0,,,0,,0,
1,Canada,Canada,18-04-2020,16,2020,,33089,10635,86.52,,,,1446,801,3.78,27.81,2.09,19449,1212,50.85,3.17,1519.31,3.97,114.37,0.3
