hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
0302f7400cc5c4eae3ce539c8b8acedeff96cdc4,2020-08-20,2020-08-20 16:40:00,TX,48,562559,5303,3984510,24577,,431960,10793,234,,0,5635,1979,,,,4547069,29880
b59f471b260ac9c06347fa8ce4f42284a72ae69e,2020-08-20,2020-08-20 11:07:00,UT,49,47982,461,567822,4981,,39364,381,4,2853,21,157,62,732,,292,615804,5442
03d80bd2ed2bd115d2b843a2c0ef8e01f1732be6,2020-08-20,2020-08-19 17:00:00,VA,51,109882,863,1313046,15050,373,14091,2427,17,15357,125,1266,276,,148,,1422928,15913
725c3af0696973128df2dacb7a92021bd3148226,2020-08-20,2020-08-20 06:33:00,VI,78,869,41,12673,156,21,623,10,1,,0,,,,,,13542,197
f98ba944fa268b37c456470879adc8bb9c3ba33b,2020-08-20,2020-08-20 00:00:00,VT,50,1537,4,113922,1558,,1356,58,0,,0,10,,,,,115459,1562
90f934b500834f14e4e4fb36364d68b7ad17f17f,2020-08-20,2020-08-19 02:59:00,WA,53,68689,425,950107,0,,,1822,13,6388,30,385,,,44,,1018796,425
b1982e9c6007b6978bd25df5e4081441b934d423,2020-08-20,2020-08-20 00:00:00,WI,55,72903,769,1093294,9131,172,59076,1074,7,5469,39,367,120,978,,,1166197,9900
a87986a5d8a735e40c33ca637ae9105918d4fc6d,2020-08-20,2020-08-20 10:00:00,WV,54,8982,181,368731,7808,,7010,166,0,,0,140,52,,18,,377713,7989
d510aca611886131068028120e37ec0efd6a1f7f,2020-08-20,2020-08-20 17:42:00,WY,56,3468,38,60706,1042,,2832,34,0,202,5,18,,,,,64174,1080
85dcc331b8b35c88c030526eaedc78fce146bef2,2020-08-19,2020-08-19 00:00:00,AK,02,5247,70,305602,770,,1501,29,0,,0,56,,,6,,310849,840
7095d1d867307ff5170d94a36cffbe87e3dbc113,2020-08-19,2020-08-19 11:00:00,AL,01,111478,1117,773868,15970,,41523,1944,8,13080,122,1198,,1336,,731,885346,17087
6a1605093a5772590825ab1faa2581c75ba85fef,2020-08-19,2020-08-19 14:47:00,AR,05,54216,729,587064,7489,,47666,631,12,3743,48,499,,,114,483,641280,8218
c0f8fafd05d99956acbdcaa7c6515503d8e27f8f,2020-08-19,2020-08-15 00:00:00,AS,60,0,0,1514,0,,,0,0,,0,,,,,,1514,0
20618c231a4e05ea42a2a09221926ee50cd18565,2020-08-19,2020-08-19 00:00:00,AZ,04,195557,637,915682,6605,,28233,4634,105,21020,142,1160,414,,250,,1111239,7242
cbc3e20131349d23d0fffe1218beee47064d0ef7,2020-08-19,2020-08-19 00:00:00,CA,06,638831,6164,9501852,85480,,,11523,181,,0,6479,1761,,,,10140683,91644
86ee11f2d2a0262c46662cf9ce85f06ac622f91d,2020-08-19,2020-08-18 01:59:00,CO,08,53631,261,590200,3920,,5729,1788,10,6781,42,262,,,,,887859,6607
9da60b860cdd472c40e09c24898c6a722b8b13cf,2020-08-19,2020-08-18 20:30:00,CT,09,51314,59,951106,9630,,8809,4457,1,11015,0,49,,,,,1002420,9689
297f030773cf952bc67a397a8048400327a6ce89,2020-08-19,2020-08-18 00:00:00,DC,11,13354,29,238305,2152,,10596,600,1,,0,84,30,,14,,251659,2181
476e52bff335c3e6eeb5c89798ed47bef909d2ff,2020-08-19,2020-08-18 18:00:00,DE,10,16643,50,198226,974,,8780,595,2,,0,32,7,,,,214869,1024
9951bc666057ff9d604a2714cb492442d617812f,2020-08-19,2020-08-18 23:59:00,FL,12,584047,4115,3722192,23084,3850,,10067,174,35620,508,5298,,,,,4306239,27199
